means	Presynaptic Neuron	Postsynaptic Neuron	g	tau_d	tau_r	tau_f	U
612	CA2 Wide-Arbor Basket (-)2232p	CA3 Basket (-)22232	2.153517246	5.626892741	595.6056657	14.29337506	0.233072437
613	DG HIPROM (-)1333p	CA3 Basket (-)22232	1.9844709	5.204767991	634.8520021	21.08509408	0.22005554
614	CA3 LMR-Targeting (-)33200	CA3 Basket (-)22232	1.753971102	5.360908037	604.9049219	21.31906145	0.192726247
615	CA3 R-LM (-)12000	CA3 Basket (-)22232	1.897105962	5.033871181	618.6283088	17.55047353	0.214044492
616	CA3 O-LM (-)11003	CA3 Basket (-)22232	1.962668098	5.205992402	620.860479	17.1681726	0.221229248
617	CA3 Lucidum ORAX (-)03311	CA3 Basket (-)22232	1.904174945	5.09898305	634.6856909	16.85723059	0.218927508
618	CA3 Lucidum-Radiatum (-)03300	CA3 Basket (-)22232	1.919337147	5.25025249	634.0778712	17.39421486	0.220012013
619	CA3 Lucidum LAX (-)02310	CA3 Basket (-)22232	1.870528339	5.009330797	625.128741	18.05600808	0.215627618
620	CA3 Spiny Lucidum (-)01320p	CA3 Basket (-)22232	2.012800901	5.304926915	624.7567617	16.52424038	0.216804415
621	CA3 Trilaminar (-)01113p	CA3 Basket (-)22232	1.810875805	5.128761775	614.7664815	17.3346376	0.205050962
622	CA3 SO-SO (-)00003	CA3 Basket (-)22232	1.986852819	5.185534493	622.3195016	17.57095456	0.22004616
623	CA3 Radiatum (-)03000	CA3 Basket (-)22232	1.857053902	5.197094447	614.4946962	18.65423288	0.207477419
624	CA3 Mossy Fiber-Associated ORDEN (-)02332p	CA3 Basket (-)22232	2.106671223	4.637354941	645.125142	19.1614666	0.225648238
625	CA3 Mossy Fiber-Associated (-)03330p	CA3 Basket (-)22232	2.507160301	4.408755511	605.9321529	37.78590346	0.227362017
626	CA3 Bistratified (-)03333	CA3 Basket (-)22232	2.005021333	4.809684687	635.0318738	16.20088067	0.225062496
627	CA3 Ivy (-)03333	CA3 Basket (-)22232	2.189296985	6.02514475	612.5018228	28.70785407	0.232404039
628	CA3 QuadD-LM (-)12222	CA3 Basket (-)22232	1.901637971	5.115564471	603.4652071	18.33942633	0.211695262
629	CA1 Back-Projection (-)1133p	CA3 Basket (-)22232	1.975798294	5.235324653	640.3527394	17.43720938	0.214413321
630	CA3 Interneuron Specific Oriens (-)01113	CA3 Basket (-)22232	1.955928635	4.9682176	624.2917021	17.30055444	0.217538936
631	CA3 Interneuron Specific Quad (-)03333p	CA3 Basket (-)22232	2.052925365	4.934996359	620.986785	17.83854031	0.218424211
632	DG Granule (+)2201p	CA3 Basket CCK+ (-)22232	1.548467784	3.332916307	512.1467675	28.48521105	0.230293415
633	DG Semilunar Granule (+)2311p	CA3 Basket CCK+ (-)22232	1.657838282	3.462815497	542.1669797	27.63408729	0.237958802
634	DG Hilar Ectopic Granule (+)2203p	CA3 Basket CCK+ (-)22232	1.644414625	2.93186728	524.7750075	19.70428232	0.246097637
635	CA3 Pyramidal (+)23223p	CA3 Basket CCK+ (-)22232	1.057563277	4.326690337	438.28249	21.66927055	0.205972377
636	CA3 Granule (+)22100	CA3 Basket CCK+ (-)22232	1.71511553	2.184089109	227.0433407	29.58076837	0.239853484
637	CA3 Giant (+)22010	CA3 Basket CCK+ (-)22232	1.530996375	3.30395356	368.1616301	28.28180457	0.232364163
638	CA3c Pyramidal (+)03223p	CA3 Basket CCK+ (-)22232	1.655747412	3.397939667	343.6624384	21.86243592	0.230589036
639	CA2 Pyramidal (+)2333p	CA3 Basket CCK+ (-)22232	1.739225682	2.810897387	303.9648086	43.32199561	0.245474801
640	MEC LII Stellate (+)331111p	CA3 Basket CCK+ (-)22232	1.380385298	3.311660422	375.4614207	29.94815981	0.229470278
641	CA3 Basket (-)22232	CA3 Basket CCK+ (-)22232	1.786402874	4.741937623	623.7190158	16.0867027	0.230855717
642	CA3 Basket CCK+ (-)22232	CA3 Basket CCK+ (-)22232	1.11823959	4.926899388	425.2172449	19.05459643	0.150252678
643	CA2 Wide-Arbor Basket (-)2232p	CA3 Basket CCK+ (-)22232	1.82636508	5.555696384	581.1768559	13.54809973	0.238182477
644	DG HIPROM (-)1333p	CA3 Basket CCK+ (-)22232	1.603930938	5.188459513	623.3897711	19.67031012	0.222151359
645	CA3 LMR-Targeting (-)33200	CA3 Basket CCK+ (-)22232	1.468594871	5.213181758	604.8667803	19.29822367	0.202619895
646	CA3 R-LM (-)12000	CA3 Basket CCK+ (-)22232	1.584718892	4.913731329	622.4199658	15.9465037	0.222305285
647	CA3 O-LM (-)11003	CA3 Basket CCK+ (-)22232	1.652804372	5.083297611	621.5424093	15.94286202	0.228694061
648	CA3 Lucidum ORAX (-)03311	CA3 Basket CCK+ (-)22232	1.580282766	4.971997577	636.0058278	15.7032383	0.224686362
649	CA3 Lucidum-Radiatum (-)03300	CA3 Basket CCK+ (-)22232	1.605662363	5.099674663	635.6432544	16.02168002	0.226091051
650	CA3 Lucidum LAX (-)02310	CA3 Basket CCK+ (-)22232	1.585150266	4.84120358	628.8468608	15.51411822	0.225326935
651	CA3 Spiny Lucidum (-)01320p	CA3 Basket CCK+ (-)22232	1.680377385	5.233406955	628.0329396	15.37924589	0.222654966
652	CA3 Trilaminar (-)01113p	CA3 Basket CCK+ (-)22232	1.539214293	5.005462977	585.6371482	16.53870819	0.212048075
653	CA3 SO-SO (-)00003	CA3 Basket CCK+ (-)22232	1.691399968	5.042580877	624.7250575	15.9582507	0.22784844
654	CA3 Radiatum (-)03000	CA3 Basket CCK+ (-)22232	1.564773545	5.044684658	616.3310063	17.14891752	0.21680505
655	CA3 Mossy Fiber-Associated ORDEN (-)02332p	CA3 Basket CCK+ (-)22232	1.762501384	4.519654866	657.9806947	16.40601886	0.230597527
656	CA3 Mossy Fiber-Associated (-)03330p	CA3 Basket CCK+ (-)22232	2.145022219	4.347190602	621.6545323	32.27708093	0.234076376
657	CA3 Bistratified (-)03333	CA3 Basket CCK+ (-)22232	1.683731512	4.984946457	608.1448755	16.97120588	0.227007507
658	CA3 Ivy (-)03333	CA3 Basket CCK+ (-)22232	1.850547208	5.986999901	625.1133339	24.78781156	0.235107729
659	CA3 QuadD-LM (-)12222	CA3 Basket CCK+ (-)22232	1.602412973	5.022350829	607.8524279	16.39728999	0.220356905
660	CA1 Back-Projection (-)1133p	CA3 Basket CCK+ (-)22232	1.651738492	5.098674467	641.162698	15.98017738	0.2224366
661	CA3 Interneuron Specific Oriens (-)01113	CA3 Basket CCK+ (-)22232	1.662215624	4.868371193	628.4547354	15.52291591	0.224731011
662	CA3 Interneuron Specific Quad (-)03333p	CA3 Basket CCK+ (-)22232	1.74007183	4.849182092	620.8710514	15.96935499	0.225638347
663	DG Granule (+)2201p	CA3 LMR-Targeting (-)33200	1.570535546	4.974807908	389.2008952	71.33107657	0.171578973
664	DG Semilunar Granule (+)2311p	CA3 LMR-Targeting (-)33200	1.655318631	5.171940869	420.4594964	71.2179805	0.183992732
665	DG Hilar Ectopic Granule (+)2203p	CA3 LMR-Targeting (-)33200	1.615134432	4.508053468	408.2706763	41.83619427	0.185894066
666	CA3 Granule (+)22100	CA3 LMR-Targeting (-)33200	1.75654187	3.901879987	262.8844644	59.20461197	0.18124864
667	CA3 Pyramidal (+)23223p	CA3 LMR-Targeting (-)33200	1.080837777	5.952979057	426.2878481	34.77693511	0.174047337
668	CA3c Pyramidal (+)03223p	CA3 LMR-Targeting (-)33200	1.69891688	4.876179401	366.3721705	38.1262743	0.197888211
669	CA2 Pyramidal (+)2333p	CA3 LMR-Targeting (-)33200	1.808556971	4.059848026	322.9656602	71.3204885	0.217799451
670	MEC LII Stellate (+)331111p	CA3 LMR-Targeting (-)33200	1.451105246	4.729834599	352.1870918	51.74790192	0.200031255
671	DG HIPROM (-)1333p	CA3 LMR-Targeting (-)33200	1.694461397	6.663574071	594.6533754	34.09048263	0.203676049
672	CA3 LMR-Targeting (-)33200	CA3 LMR-Targeting (-)33200	1.489246282	6.913563981	566.9986001	36.3780843	0.174812645
673	CA3 R-LM (-)12000	CA3 LMR-Targeting (-)33200	1.654387611	6.415234902	579.5815101	27.33876917	0.199835462
674	CA3 O-LM (-)11003	CA3 LMR-Targeting (-)33200	1.736045741	6.591216234	583.0325741	25.62152714	0.20905252
675	CA3 Lucidum ORAX (-)03311	CA3 LMR-Targeting (-)33200	1.659955476	6.491031202	596.2834044	25.46744398	0.205718454
676	CA3 Lucidum-Radiatum (-)03300	CA3 LMR-Targeting (-)33200	1.689707779	6.66136609	595.5259824	26.17914275	0.207202835
677	CA3 Lucidum LAX (-)02310	CA3 LMR-Targeting (-)33200	1.643975036	6.366755131	578.1531432	27.74199809	0.201616599
678	CA3 Spiny Lucidum (-)01320p	CA3 LMR-Targeting (-)33200	1.760248095	6.747133349	588.3794336	24.75207175	0.202495699
679	CA3 Trilaminar (-)01113p	CA3 LMR-Targeting (-)33200	1.598902418	6.514730056	568.6092628	25.94128617	0.192619996
680	CA3 Radiatum (-)03000	CA3 LMR-Targeting (-)33200	1.607404375	6.628357155	576.6722575	29.91397482	0.191947403
681	CA3 Mossy Fiber-Associated ORDEN (-)02332p	CA3 LMR-Targeting (-)33200	1.845734732	5.804985191	604.7473832	30.09728546	0.211750729
682	CA3 Mossy Fiber-Associated (-)03330p	CA3 LMR-Targeting (-)33200	2.249370668	5.340083054	575.2034219	70.00781574	0.216775072
683	CA3 Bistratified (-)03333	CA3 LMR-Targeting (-)33200	1.776009677	6.06980018	601.3257465	23.44152356	0.213205996
684	CA3 Ivy (-)03333	CA3 LMR-Targeting (-)33200	1.932318871	7.514879222	582.5179725	46.43191885	0.218852254
685	CA3 QuadD-LM (-)12222	CA3 LMR-Targeting (-)33200	1.644556444	6.563739214	562.3349062	30.08974938	0.198312039
686	CA1 Back-Projection (-)1133p	CA3 LMR-Targeting (-)33200	1.741449337	6.676075643	596.2588372	26.3522045	0.200015784
687	CA3 Interneuron Specific Oriens (-)01113	CA3 LMR-Targeting (-)33200	1.735923562	6.29679678	586.1831606	25.69795548	0.204314972
688	CA3 Interneuron Specific Quad (-)03333p	CA3 LMR-Targeting (-)33200	1.815118101	6.250535538	581.9210894	26.71671599	0.204327792
689	CA3 Pyramidal (+)23223p	CA3 R-LM (-)12000	1.044290396	5.964775904	379.6496077	34.65054978	0.175922388
690	CA3c Pyramidal (+)03223p	CA3 R-LM (-)12000	1.6824328	4.8217077	321.4221249	38.65430731	0.202174163
691	CA2 Pyramidal (+)2333p	CA3 R-LM (-)12000	1.800826188	3.892850126	274.5970855	75.720483	0.226399899
692	DG HIPROM (-)1333p	CA3 R-LM (-)12000	1.656471338	6.708978696	582.1981119	31.91320589	0.209986409
693	CA3 LMR-Targeting (-)33200	CA3 R-LM (-)12000	1.456410055	6.940966548	559.2425285	32.97422709	0.181246112
694	CA3 O-LM (-)11003	CA3 R-LM (-)12000	1.6800889	6.652782866	572.1863064	23.98220847	0.214321953
695	CA3 Lucidum ORAX (-)03311	CA3 R-LM (-)12000	1.61094594	6.542338196	585.3236871	23.73480551	0.211318919
696	CA3 Lucidum-Radiatum (-)03300	CA3 R-LM (-)12000	1.635641147	6.712477914	585.1827594	24.33426867	0.212851888
697	CA3 Spiny Lucidum (-)01320p	CA3 R-LM (-)12000	1.707146855	6.810407362	579.7369114	22.96440346	0.208155661
698	CA3 Trilaminar (-)01113p	CA3 R-LM (-)12000	1.539811796	6.585956956	556.6662833	24.57547572	0.197754878
699	CA3 Radiatum (-)03000	CA3 R-LM (-)12000	1.564324615	6.675295352	568.3455391	27.42427259	0.198069198
700	CA3 Mossy Fiber-Associated (-)03330p	CA3 R-LM (-)12000	2.237694125	5.361314954	572.586025	62.9476746	0.22171288
701	CA3 Bistratified (-)03333	CA3 R-LM (-)12000	1.719721011	6.131637627	591.4978705	21.97747678	0.218425694
702	CA3 Ivy (-)03333	CA3 R-LM (-)12000	1.893990037	7.643450301	576.7551317	44.01070037	0.224769892
703	CA1 Back-Projection (-)1133p	CA3 R-LM (-)12000	1.692306143	6.71929878	581.3184861	24.98165682	0.205419022
704	CA3 Interneuron Specific Oriens (-)01113	CA3 R-LM (-)12000	1.685622171	6.355793698	574.3402639	24.19042726	0.20996132
705	CA3 Interneuron Specific Quad (-)03333p	CA3 R-LM (-)12000	1.769271909	6.294795275	566.5085879	25.34830761	0.210503161
706	CA3 Pyramidal (+)23223p	CA3 O-LM (-)11003	0.912258218	5.591393916	415.2956625	31.57501482	0.181122045
707	CA3c Pyramidal (+)03223p	CA3 O-LM (-)11003	1.502970056	4.501677591	344.1862638	34.55102126	0.20711471
708	CA2 Pyramidal (+)2333p	CA3 O-LM (-)11003	1.719242379	3.802956666	294.7457175	66.29301744	0.230886473
709	DG HIPROM (-)1333p	CA3 O-LM (-)11003	1.647396993	6.544187149	595.8550355	30.2829675	0.214000246
710	CA3 O-LM (-)11003	CA3 O-LM (-)11003	1.659754127	6.523577623	584.5909438	23.14618786	0.218677888
711	CA3 Lucidum ORAX (-)03311	CA3 O-LM (-)11003	1.582205296	6.394045	599.5047047	22.79957432	0.215422469
712	CA3 Trilaminar (-)01113p	CA3 O-LM (-)11003	1.51078627	6.427667955	571.5073098	23.55115075	0.202101632
713	CA3 SO-SO (-)00003	CA3 O-LM (-)11003	1.711661605	6.44508188	586.6778874	23.52415902	0.217800288
714	CA3 Bistratified (-)03333	CA3 O-LM (-)11003	1.690303076	6.006280932	604.8782568	21.23184814	0.22276268
715	CA3 Ivy (-)03333	CA3 O-LM (-)11003	1.888570387	7.571116378	586.0799627	42.98193118	0.227814347
716	CA1 Back-Projection (-)1133p	CA3 O-LM (-)11003	1.670211503	6.569841094	596.2614539	24.07063571	0.209592606
717	CA3 Interneuron Specific Oriens (-)01113	CA3 O-LM (-)11003	1.657191269	6.210271878	588.1647037	23.33279504	0.214066408
718	CA3 Interneuron Specific Quad (-)03333p	CA3 O-LM (-)11003	1.75480081	6.160194246	581.3388738	24.34569344	0.214425795
719	DG Granule (+)2201p	CA3 Lucidum ORAX (-)03311	1.522280646	4.947413641	371.6120253	63.51417786	0.182405568
720	DG Semilunar Granule (+)2311p	CA3 Lucidum ORAX (-)03311	1.614904434	5.169689647	403.5673919	63.25916936	0.191936077
721	DG Hilar Ectopic Granule (+)2203p	CA3 Lucidum ORAX (-)03311	1.541259639	4.526800943	381.0622796	39.24077317	0.192331028
722	CA3 Granule (+)22100	CA3 Lucidum ORAX (-)03311	1.70280891	3.816611164	223.122686	55.6055395	0.190466501
723	CA3 Pyramidal (+)23223p	CA3 Lucidum ORAX (-)03311	0.970690689	6.256296824	396.6561266	31.45230293	0.175774782
724	CA3c Pyramidal (+)03223p	CA3 Lucidum ORAX (-)03311	1.609417071	4.981926797	330.1173189	34.16614457	0.203046255
725	CA2 Pyramidal (+)2333p	CA3 Lucidum ORAX (-)03311	1.713361751	3.992478164	286.7867654	69.00977159	0.225483518
726	DG HIPROM (-)1333p	CA3 Lucidum ORAX (-)03311	1.628143196	6.882192313	590.9424854	30.23297897	0.210330675
727	CA3 LMR-Targeting (-)33200	CA3 Lucidum ORAX (-)03311	1.41559074	7.147653408	564.4609553	31.2671561	0.180651367
728	CA3 O-LM (-)11003	CA3 Lucidum ORAX (-)03311	1.637739566	6.842499499	578.6778471	22.7831099	0.214549891
729	CA3 Lucidum ORAX (-)03311	CA3 Lucidum ORAX (-)03311	1.572981584	6.734084137	594.0136348	22.46357177	0.211531983
730	CA3 Lucidum-Radiatum (-)03300	CA3 Lucidum ORAX (-)03311	1.595349514	6.90430238	592.6862337	23.17351469	0.212917273
731	CA3 Lucidum LAX (-)02310	CA3 Lucidum ORAX (-)03311	1.562296933	6.559401911	567.5050765	25.10210831	0.207622384
732	CA3 Spiny Lucidum (-)01320p	CA3 Lucidum ORAX (-)03311	1.669154338	7.004789439	585.9406746	21.90943962	0.208649264
733	CA3 Trilaminar (-)01113p	CA3 Lucidum ORAX (-)03311	1.503074495	6.775559962	564.911455	23.07644242	0.198279507
734	CA3 Radiatum (-)03000	CA3 Lucidum ORAX (-)03311	1.521661185	6.878362727	574.3097398	26.07767829	0.197808164
735	CA3 Mossy Fiber-Associated ORDEN (-)02332p	CA3 Lucidum ORAX (-)03311	1.777165662	5.957178049	595.8167425	27.12925986	0.217998351
736	CA3 Mossy Fiber-Associated (-)03330p	CA3 Lucidum ORAX (-)03311	2.215693795	5.496802866	578.405949	60.35283829	0.222819046
737	CA3 Bistratified (-)03333	CA3 Lucidum ORAX (-)03311	1.676866717	6.314845797	599.1415437	20.80642118	0.218361937
738	CA3 Ivy (-)03333	CA3 Lucidum ORAX (-)03311	1.86532262	7.886224819	581.7169243	42.74445352	0.225104115
739	CA1 Back-Projection (-)1133p	CA3 Lucidum ORAX (-)03311	1.655637891	6.908912192	589.6644034	23.73805011	0.206197783
740	CA3 Interneuron Specific Oriens (-)01113	CA3 Lucidum ORAX (-)03311	1.646037435	6.543130763	581.9443696	22.94173921	0.21028425
741	CA3 Interneuron Specific Quad (-)03333p	CA3 Lucidum ORAX (-)03311	1.735467611	6.467991651	575.4302458	24.03404443	0.211291424
742	DG Granule (+)2201p	CA3 Lucidum-Radiatum (-)03300	1.530871257	4.967201935	376.1806803	63.47024095	0.183137539
743	DG Semilunar Granule (+)2311p	CA3 Lucidum-Radiatum (-)03300	1.628129077	5.181572911	406.9927251	63.03970714	0.192924026
744	DG Hilar Ectopic Granule (+)2203p	CA3 Lucidum-Radiatum (-)03300	1.551460946	4.535232102	385.2275285	39.32329454	0.19275798
745	CA3 Granule (+)22100	CA3 Lucidum-Radiatum (-)03300	1.717887544	3.820528023	226.6823882	55.61735172	0.190933715
746	CA3 Pyramidal (+)23223p	CA3 Lucidum-Radiatum (-)03300	0.97446721	6.25839614	399.1601334	31.55774582	0.176246202
747	CA3c Pyramidal (+)03223p	CA3 Lucidum-Radiatum (-)03300	1.613368803	4.994393725	332.8731537	34.39322075	0.203127255
748	CA2 Pyramidal (+)2333p	CA3 Lucidum-Radiatum (-)03300	1.716903796	4.004225498	290.4401499	68.9366806	0.225596873
749	DG HIPROM (-)1333p	CA3 Lucidum-Radiatum (-)03300	1.620793888	6.888738613	593.7830736	30.1581536	0.210564962
750	CA3 LMR-Targeting (-)33200	CA3 Lucidum-Radiatum (-)03300	1.418050321	7.147573494	567.1695902	31.2847101	0.180888466
751	CA3 O-LM (-)11003	CA3 Lucidum-Radiatum (-)03300	1.638176129	6.847533956	581.7342011	22.99121758	0.214465026
752	CA3 Lucidum ORAX (-)03311	CA3 Lucidum-Radiatum (-)03300	1.571778465	6.734116707	596.3875093	22.54432784	0.21152431
753	CA3 Lucidum-Radiatum (-)03300	CA3 Lucidum-Radiatum (-)03300	1.597501818	6.908145576	595.5348037	23.30470002	0.213050219
754	CA3 Lucidum LAX (-)02310	CA3 Lucidum-Radiatum (-)03300	1.562290125	6.563483789	570.1780365	25.23637865	0.207740862
755	CA3 Spiny Lucidum (-)01320p	CA3 Lucidum-Radiatum (-)03300	1.671744007	7.005351179	588.7234452	22.04794812	0.208730048
756	CA3 Trilaminar (-)01113p	CA3 Lucidum-Radiatum (-)03300	1.500975936	6.777170602	567.5084054	23.25593399	0.198338195
757	CA3 Radiatum (-)03000	CA3 Lucidum-Radiatum (-)03300	1.526797645	6.874079688	576.9956654	26.21931399	0.198045202
758	CA3 Mossy Fiber-Associated ORDEN (-)02332p	CA3 Lucidum-Radiatum (-)03300	1.771818759	5.966749994	598.5193097	26.9098694	0.218093051
759	CA3 Mossy Fiber-Associated (-)03330p	CA3 Lucidum-Radiatum (-)03300	2.210005447	5.498974736	580.0735613	60.38846604	0.222904311
760	CA3 Bistratified (-)03333	CA3 Lucidum-Radiatum (-)03300	1.676435509	6.31667186	601.6792912	21.03602302	0.2181171
761	CA3 Ivy (-)03333	CA3 Lucidum-Radiatum (-)03300	1.86173377	7.886580121	583.7920784	42.89978815	0.22503563
762	CA1 Back-Projection (-)1133p	CA3 Lucidum-Radiatum (-)03300	1.646287835	6.907972275	592.9301986	23.76646292	0.206303397
763	CA3 Interneuron Specific Oriens (-)01113	CA3 Lucidum-Radiatum (-)03300	1.646137477	6.546549853	584.6125396	23.01295239	0.210317547
764	CA3 Interneuron Specific Quad (-)03333p	CA3 Lucidum-Radiatum (-)03300	1.729261931	6.476752681	578.2924464	24.14653179	0.211241574
765	DG Granule (+)2201p	CA3 Lucidum LAX (-)02310	1.407372662	4.653706385	392.1593373	70.69909336	0.166885816
766	DG Semilunar Granule (+)2311p	CA3 Lucidum LAX (-)02310	1.472471132	4.818415172	412.9253293	69.48285212	0.179590494
767	DG Hilar Ectopic Granule (+)2203p	CA3 Lucidum LAX (-)02310	1.399581082	4.221308285	391.5121233	46.30654475	0.177930205
768	CA3 Granule (+)22100	CA3 Lucidum LAX (-)02310	1.57142644	3.549188422	235.1870671	62.30390693	0.176434381
769	CA3 Pyramidal (+)23223p	CA3 Lucidum LAX (-)02310	0.912084099	5.862648932	416.8667108	38.02947964	0.151069417
770	CA3c Pyramidal (+)03223p	CA3 Lucidum LAX (-)02310	1.535257741	4.675223273	336.4066257	41.15391757	0.184262714
771	CA2 Pyramidal (+)2333p	CA3 Lucidum LAX (-)02310	1.644207702	3.785294533	280.9322062	79.37502186	0.207846708
772	DG HIPROM (-)1333p	CA3 Lucidum LAX (-)02310	1.537568283	6.577019186	606.5484527	37.26988115	0.191647016
773	CA3 LMR-Targeting (-)33200	CA3 Lucidum LAX (-)02310	1.314945781	6.803236051	571.5037438	38.67070076	0.161404872
774	CA3 O-LM (-)11003	CA3 Lucidum LAX (-)02310	1.528665599	6.507572351	589.1857535	27.25416731	0.195344426
775	CA3 Lucidum ORAX (-)03311	CA3 Lucidum LAX (-)02310	1.471838317	6.413185723	606.1037934	27.27576226	0.192182728
776	CA3 Lucidum-Radiatum (-)03300	CA3 Lucidum LAX (-)02310	1.488958101	6.572684569	605.2853379	27.97981968	0.193400687
777	CA3 Lucidum LAX (-)02310	CA3 Lucidum LAX (-)02310	1.458947312	6.243831548	578.4845151	30.645421	0.18774252
778	CA3 Spiny Lucidum (-)01320p	CA3 Lucidum LAX (-)02310	1.569924599	6.667363266	597.5303883	26.37120817	0.189173859
779	CA3 Trilaminar (-)01113p	CA3 Lucidum LAX (-)02310	1.399318739	6.45233242	578.3164333	27.88057765	0.177291515
780	CA3 Radiatum (-)03000	CA3 Lucidum LAX (-)02310	1.417640878	6.543304615	582.1387337	31.82495906	0.178808441
781	CA3 Mossy Fiber-Associated ORDEN (-)02332p	CA3 Lucidum LAX (-)02310	1.677756759	5.705405262	605.0201323	34.09589224	0.199925534
782	CA3 Mossy Fiber-Associated (-)03330p	CA3 Lucidum LAX (-)02310	2.139506755	5.239826948	585.4864458	73.06395181	0.210322776
783	CA3 Bistratified (-)03333	CA3 Lucidum LAX (-)02310	1.576179917	6.0274001	606.3178325	25.19721329	0.199885971
784	CA3 Ivy (-)03333	CA3 Lucidum LAX (-)02310	1.78035226	7.557183886	588.0908257	51.48337031	0.21110277
785	CA1 Back-Projection (-)1133p	CA3 Lucidum LAX (-)02310	1.557802133	6.55818652	605.4406995	29.06658837	0.186622251
786	CA3 Interneuron Specific Oriens (-)01113	CA3 Lucidum LAX (-)02310	1.538538286	6.220763356	591.2605283	27.85021357	0.191160273
787	CA3 Interneuron Specific Quad (-)03333p	CA3 Lucidum LAX (-)02310	1.629418701	6.160201804	586.7634026	29.58393717	0.191934322
788	DG Granule (+)2201p	CA3 Spiny Lucidum (-)01320p	0.964691926	4.603387846	128.3868127	168.5044541	0.106547475
789	DG Semilunar Granule (+)2311p	CA3 Spiny Lucidum (-)01320p	1.040492685	4.876046978	150.4992825	166.6096228	0.113216785
790	DG Hilar Ectopic Granule (+)2203p	CA3 Spiny Lucidum (-)01320p	0.979353546	4.422438519	137.9493981	124.2469433	0.108528437
791	CA3 Granule (+)22100	CA3 Spiny Lucidum (-)01320p	1.021821025	3.896709203	91.28115692	156.0887918	0.107335186
792	CA3 Giant (+)22010	CA3 Spiny Lucidum (-)01320p	1.045019722	4.591797486	140.6500337	124.9208448	0.131597619
793	CA2 Pyramidal (+)2333p	CA3 Spiny Lucidum (-)01320p	1.181950661	3.98320464	131.3883172	142.7809477	0.144672303
794	DG HIPROM (-)1333p	CA3 Spiny Lucidum (-)01320p	1.218854523	6.457196048	370.5307626	72.21781015	0.144402099
795	CA3 Lucidum ORAX (-)03311	CA3 Spiny Lucidum (-)01320p	1.163082946	6.361910415	376.6630794	55.00678759	0.14342569
796	CA3 Lucidum-Radiatum (-)03300	CA3 Spiny Lucidum (-)01320p	1.183796424	6.498603239	380.0788589	56.67274046	0.144664976
797	CA3 Lucidum LAX (-)02310	CA3 Spiny Lucidum (-)01320p	1.147425737	6.197871977	328.1507582	70.09421041	0.137878907
798	CA3 Spiny Lucidum (-)01320p	CA3 Spiny Lucidum (-)01320p	1.252267208	6.584593957	389.5686025	52.37302353	0.143260456
799	CA3 Trilaminar (-)01113p	CA3 Spiny Lucidum (-)01320p	1.111705747	6.413981083	356.6096921	54.14137515	0.132387811
800	CA3 Mossy Fiber-Associated ORDEN (-)02332p	CA3 Spiny Lucidum (-)01320p	1.314264693	5.665254844	337.471107	76.96576917	0.148802766
801	CA3 Mossy Fiber-Associated (-)03330p	CA3 Spiny Lucidum (-)01320p	1.701345113	5.256113288	426.9937153	120.9774469	0.167697513
802	CA3 Bistratified (-)03333	CA3 Spiny Lucidum (-)01320p	1.279632575	5.98480863	399.2390576	47.4575242	0.154745402
803	CA3 Ivy (-)03333	CA3 Spiny Lucidum (-)01320p	1.456378172	7.284000746	424.4440027	88.10880306	0.167896007
804	CA1 Back-Projection (-)1133p	CA3 Spiny Lucidum (-)01320p	1.236760226	6.489265898	351.1611445	60.21971975	0.138577049
805	CA3 Interneuron Specific Oriens (-)01113	CA3 Spiny Lucidum (-)01320p	1.221861822	6.203070748	370.4190251	56.11230184	0.142657738
806	CA3 Interneuron Specific Quad (-)03333p	CA3 Spiny Lucidum (-)01320p	1.292209731	6.123932147	353.7114416	60.18875575	0.143605268
807	CA3 Pyramidal (+)23223p	CA3 Trilaminar (-)01113p	1.011070233	5.940110518	401.4957326	30.26811599	0.16627424
808	CA3c Pyramidal (+)03223p	CA3 Trilaminar (-)01113p	1.66727039	4.742739896	333.1989177	31.56040267	0.193440696
809	CA2 Pyramidal (+)2333p	CA3 Trilaminar (-)01113p	1.792550604	3.767023898	295.3101949	62.04443852	0.21575621
810	DG HIPROM (-)1333p	CA3 Trilaminar (-)01113p	1.584463637	6.946624967	588.3081058	28.91060763	0.200348492
811	CA3 O-LM (-)11003	CA3 Trilaminar (-)01113p	1.602550068	6.879360938	577.3012606	22.41399496	0.204999496
812	CA3 Lucidum ORAX (-)03311	CA3 Trilaminar (-)01113p	1.525701052	6.766043968	591.8225637	22.14614101	0.201080797
813	CA3 Trilaminar (-)01113p	CA3 Trilaminar (-)01113p	1.466475156	6.743462002	534.1130816	22.0298725	0.175670797
814	CA3 SO-SO (-)00003	CA3 Trilaminar (-)01113p	1.649611495	6.780448233	579.2436928	22.72126089	0.203807344
815	CA3 Bistratified (-)03333	CA3 Trilaminar (-)01113p	1.61474973	6.398006195	596.8540598	20.71811164	0.206966315
816	CA3 Ivy (-)03333	CA3 Trilaminar (-)01113p	1.822183507	7.899950475	582.488464	40.033742	0.217684772
817	CA1 Back-Projection (-)1133p	CA3 Trilaminar (-)01113p	1.602473965	7.003521918	592.1379865	23.1947236	0.197500243
818	CA3 Interneuron Specific Oriens (-)01113	CA3 Trilaminar (-)01113p	1.60252494	6.57191194	579.1856627	22.3652785	0.199800942
